time, Quad.IMU.AX
2.719985,0.451668
2.724985,-0.313177
2.729985,0.638303
2.734984,0.462445
2.739984,-0.038587
2.744983,-0.521551
2.749983,-0.024218
2.754983,0.451951
2.759982,-0.548737
2.764982,0.059021
2.769982,0.229317
2.774981,0.276394
2.779981,0.634770
2.784981,0.494281
2.789980,-0.206338
2.794980,-0.114373
2.799979,0.028952
2.804979,-0.182460
2.809979,-0.374243
2.814978,0.061378
2.819978,0.156405
2.824978,-0.497821
2.829977,0.753273
2.834977,0.245619
2.839977,0.552230
2.844976,0.798177
2.849976,-0.459683
2.854975,-0.159591
2.859975,-0.068692
2.864975,-0.946733
2.869974,0.692461
2.874974,-0.502977
2.879974,0.147356
2.884973,0.320634
2.889973,-0.291445
2.894973,-0.194956
2.899972,0.547705
2.904972,-0.057087
2.909971,0.747865
2.914971,0.231676
2.919971,0.247622
2.924970,0.157948
2.929970,-0.631514
2.934970,-0.228095
2.939969,-0.078769
2.944969,-0.303786
2.949969,0.184798
2.954968,0.194728
2.959968,-0.855408
2.964967,0.168830
2.969967,0.013773
2.974967,0.468896
2.979966,-0.260862
2.984966,-0.446666
2.989966,-0.149344
2.994965,0.989344
2.999965,-1.199277
3.004965,0.362631
3.009964,0.857774
3.014964,-0.253560
3.019964,-0.312599
3.024963,0.292573
3.029963,-0.191641
3.034962,-0.392599
3.039962,0.141751
3.044962,0.082346
3.049961,0.619563
3.054961,-0.261656
3.059961,-0.438882
3.064960,-0.061384
3.069960,0.283639
3.074960,0.128904
3.079959,-0.580894
3.084959,0.393754
3.089958,-0.049715
3.094958,-1.038617
3.099958,-0.503670
3.104957,-0.377857
3.109957,0.009706
3.114957,0.030490
3.119956,-0.851493
3.124956,0.031793
3.129956,0.861216
3.134955,0.933346
3.139955,-0.107056
3.144954,-0.783337
3.149954,-1.119600
3.154954,0.407027
3.159953,-0.075189
3.164953,-0.298183
3.169953,-0.569489
3.174952,-0.009593
3.179952,0.149822
3.184952,-0.714441
3.189951,-0.342081
3.194951,0.801525
3.199950,-0.298800
3.204950,-0.445544
3.209950,0.663404
3.214949,0.306075
3.219949,-0.607265
3.224949,0.211591
3.229948,0.163848
3.234948,0.446809
3.239948,-0.488210
3.244947,-0.023482
3.249947,0.211327
3.254946,-0.154691
3.259946,0.018341
3.264946,-0.656184
3.269945,-0.513616
3.274945,0.649405
3.279945,-0.869354
3.284944,-0.230198
3.289944,-0.124995
3.294944,-0.240648
3.299943,-0.283257
3.304943,-0.230017
3.309942,0.056772
3.314942,0.732534
3.319942,-0.993349
3.324941,0.031157
3.329941,0.821350
3.334941,-0.172254
3.339940,-0.558191
3.344940,0.069162
3.349940,-0.174648
3.354939,-0.426008
3.359939,-0.742445
3.364938,-0.076884
3.369938,-0.539968
3.374938,0.286656
3.379937,-0.022472
3.384937,-0.398173
3.389937,-1.019135
3.394936,-0.443474
3.399936,-0.740631
3.404936,0.678106
3.409935,0.020132
3.414935,-0.012615
3.419935,0.301729
3.424934,0.657750
